Robertus, le Juste
Giradin, l'Observateur
Borin, le Gladiateur
Godet, l'Incassable
Arthurus, le Rapide
Hemonnet, Chevalier de l'Aube
Hitch, Chevalier de l'Ouest
Tedric, la Brute
Mauger, le Maladroit
Simmond, le Chacal
Ansell, le Fantôme
Ricard, le Courtois
Hickie, l'Incassable
Elyot, le Grand
Ernoulet, le Prodige
Taffy, le Défenseur
Davi, l'Orange
Hugubert, le Faible
Athelardus, le Savant
Salemon, Chevalier d'Été
Nigs, l'Agité
Edun, Chevalier de la Glace
Dain, la Brute
James, l'Ami
Derrick, le Persistant
Yngerame, le Bouclier
Moyse, le Berger
Hicket, le Gardien
Malculmus, le Juste
Edon, le Sauvage
Arter, Chevalier des Montagnes
Eluard, le Hardi
Rober, le Dur
Renaudin, l'Affamé
Ysaac, le Traître
Berthellemy, le Guardien
Emory, le Fort
Jourdain, le Timide
Robion, l'Énigme
Ingerame, le Vigile
Hernais, le Chauve
Yvain, Cœur de Dragon
Artor, le Guerrier
Warner, le Gracieux
Gilberd, l'Honorable
Gualter, le Héros
Oudet, le Vieux
Andryr, l'Ange
Artur, l'Agité
Peirce, le Persistant
Reimund, l'Aimable
Hughoc, l'Incassable
Manard, le Magnifique
Warren, l'Observateur
Hardouin, le Vieux
Aitken, Chevalier de la Montagne
Sanson, le Gracieux
Harman, Chevalier du Sud
Elye, le Fiable
Cristoforus, le Noble
